Framework,Instrument Type,Legal Force,United States,Mexico,Brazil,Colombia,What Triggers It,Overlap or Conflict
"EU AI Act (Reg. 2024/1689, as amended by the Digital Omnibus on AI)",Regulation,Binding,Extraterritorial,Extraterritorial,Extraterritorial,Extraterritorial,"Placing an AI system on the EU market, or the system output being used in the EU, regardless of where the provider sits","Annex III high-risk obligations apply from 2 December 2027; Annex I from 2 August 2028. Article 50 transparency duties and the Article 4 AI literacy duty were not postponed. Credit scoring is an Annex III use case, so a LatAm lending model with any EU customer exposure is in scope."
NIST AI RMF 1.0,Voluntary framework,Non-binding,Baseline expectation,Referenced,Referenced,Referenced,"Adopted by choice, or required by a US enterprise customer through contract","Maps closely to ISO/IEC 42001 controls. Using both means one control set with two label systems, not two programs. US federal financial-sector guidance builds on it."
NIST AI Agent Standards Initiative,Standards program,Non-binding,Emerging baseline,Referenced,Referenced,Referenced,"An AI component that takes autonomous action: calls an API, writes data, triggers a workflow","Covers action authority and tool invocation security, which general AI RMF does not. An agent is not covered adequately by a model-level control set."
ISO/IEC 42001:2023,Certifiable standard,Voluntary,Applies,Applies,Applies,Applies,"Certification decision, usually driven by enterprise procurement rather than regulation","The management-system shell that a regulator-facing audit can hang on. Certification proves the process exists, not that any specific system is safe."
ISO/IEC 42005:2025,Guidance standard,Voluntary,Applies,Applies,Applies,Applies,"Performing an AI system impact assessment","Gives structure to the impact assessment that the EU AI Act and Brazil's PL 2338 both require in substance. Useful as the shared template across jurisdictions."
LGPD (Law 13.709/2018),Statute,Binding,Extraterritorial,Not applicable,Applies,Not applicable,"Processing personal data of individuals in Brazil, or offering goods and services to them","Article 20 gives a right to review of automated decisions. That right is live today, with no AI statute needed. ANPD is the enforcing authority."
PL 2338/2023 (Marco Legal da IA),Bill,Not yet in force,Not applicable,Not applicable,Pending,Not applicable,"Would apply on enactment to providers and operators of AI systems affecting people in Brazil","Approved by the Senate in December 2024, still with the Chamber of Deputies as of August 2026. Risk-based structure modeled on the EU AI Act. Coordination sits with ANPD under a distributed sectoral model."
LFPDPPP (2025),Statute,Binding,Extraterritorial,Applies,Not applicable,Not applicable,"Processing personal data held by private parties in Mexico","A new statute effective 21 March 2025, not an amendment. INAI was dissolved; enforcement moved to the Secretariat of Anti-Corruption and Good Governance. Adds accountability for automated decision-making. Privacy notices referencing INAI are stale."
Law 1581/2012 and Decree 1377/2013,Statute and decree,Binding,Extraterritorial,Not applicable,Not applicable,Applies,"Processing personal data of individuals in Colombia","Enforced by the Superintendencia de Industria y Comercio. Database registration in the RNBD is an operational obligation that is easy to miss during market entry."
CONPES 4144,National policy document,Non-binding,Not applicable,Not applicable,Not applicable,Policy guidance,"Public-sector AI programs and sector regulator expectations","Sets direction rather than obligations. Colombia governs AI through the data protection statute and sector supervision, so the binding constraint is Law 1581 plus SFC circulars."
CCPA and CPRA,State statute,Binding,Applies,Not applicable,Not applicable,Not applicable,"Meeting the California revenue or data-volume thresholds and handling California resident data","CPPA rules on automated decision-making technology add obligations on top of the base statute; confirm the current compliance dates before scoping. Other US state privacy statutes differ enough that a single US posture is a simplification."
PCI DSS 4.0.1,Contractual standard,Binding by contract,Applies,Applies,Applies,Applies,"Storing, processing or transmitting cardholder data anywhere in the flow","Enforced through card network agreements, not law, which means the deadline is the acquirer's and there is no regulatory grace period. Scope creeps quietly when logs or support tooling touch PAN data."
FATF Recommendation 16 (travel rule),International standard,Binding via national law,Applies,Applies,Applies,Applies,"Cross-border transfer requiring originator and beneficiary information to travel with the payment","Implemented differently in each market and on different timelines. Directly connected to the ISO 20022 structured address work, since the data quality the travel rule assumes is the data the address change forces."
"National AML regimes: BSA (US), LFPIORPI (MX), Law 9.613/1998 (BR), SARLAFT (CO)",Statutes and supervisory rules,Binding,Applies,Applies,Applies,Applies,"Operating as a regulated financial institution or a designated non-financial obligated entity","Four supervisors with four reporting formats: FinCEN, the CNBV and UIF, COAF, and the UIAF under SFC rules. Screening logic can be shared. Reporting cannot."
GLBA Safeguards Rule,Federal rule,Binding,Applies,Not applicable,Not applicable,Not applicable,"Being a non-bank financial institution under FTC jurisdiction holding US customer information","Prescribes named security program elements. Overlaps heavily with PCI DSS controls while using different vocabulary for the same measures."
SR 11-7 model risk management,Supervisory guidance,Binding on supervised firms,Applies,Not applicable,Not applicable,Not applicable,"Being a US bank or bank holding company using models in decisions","Predates the AI vocabulary and still governs. A credit model called AI is a model under SR 11-7 first, whatever the AI governance program calls it."
